"ReportDate","tot_ProAcres"
2018-10-31,0.02
2018-11-01,0
2018-11-02,0.25
2018-11-03,0
2018-11-04,597.7
2018-11-05,0
2018-11-06,0
2018-11-07,14
2018-11-08,6.6
2018-11-09,0.03
2018-11-10,6.35
2018-11-11,129.79
2018-11-12,1.42
2018-11-13,13.21
2018-11-14,0
2018-11-15,2.75
2018-11-16,0.1
2018-11-17,3.16
2018-11-18,0.1
2018-11-19,0.5
2018-11-20,0.01
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,0
2018-11-26,0.6
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,3.5
2018-12-08,0
2018-12-09,0
2018-12-10,0.01
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,1.01
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0.01
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,0
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,5.38
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,0
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,0
2019-02-11,0
2019-02-12,0
2019-02-13,0
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,0
2019-02-25,0
2019-02-26,0
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,0
2019-03-04,0.2
2019-03-05,0
2019-03-06,0
2019-03-07,0
2019-03-08,0
2019-03-09,0
2019-03-10,0
2019-03-11,15
2019-03-12,0
2019-03-13,0.02
2019-03-14,0
2019-03-15,0
2019-03-16,0
2019-03-17,2.07
2019-03-18,1.95
2019-03-19,196.82
2019-03-20,7.8
2019-03-21,1
2019-03-22,0
2019-03-23,0
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0.02
2019-03-29,0.01
2019-03-30,0
2019-03-31,2
2019-04-01,0.01
2019-04-02,0
2019-04-03,0
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0
2019-04-12,0
2019-04-13,0
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0.01
2019-04-18,0.6
2019-04-19,0
2019-04-20,0
2019-04-21,0
2019-04-22,0.11
2019-04-23,0.1
2019-04-24,0.77
2019-04-25,0.5
2019-04-26,129.24
2019-04-27,2.31
2019-04-28,0.03
2019-04-29,4.1
2019-04-30,32.77
2019-05-01,28.13
2019-05-02,2.93
2019-05-03,1.18
2019-05-04,370.41
2019-05-05,2.4
2019-05-06,45.75
2019-05-07,10.38
2019-05-08,19.43
2019-05-09,65.35
2019-05-10,75.87
2019-05-11,1.13
2019-05-12,0.86
2019-05-13,0.03
2019-05-14,0.25
2019-05-15,0
2019-05-16,0.01
2019-05-17,0.01
2019-05-18,0.01
2019-05-19,0
2019-05-20,0
2019-05-21,0
2019-05-22,0
2019-05-23,0
2019-05-24,1.53
2019-05-25,0
2019-05-26,0
2019-05-27,0
2019-05-28,0.2
2019-05-29,1.61
2019-05-30,1.01
2019-05-31,1
2019-06-01,18.85
2019-06-02,0.58
2019-06-03,2.25
2019-06-04,109.17
2019-06-05,0.43
2019-06-06,0.01
2019-06-07,0.01
2019-06-08,1.25
2019-06-09,0.01
2019-06-10,3.08
2019-06-11,4.12
2019-06-12,0.25
2019-06-13,4.86
2019-06-14,4.29
2019-06-15,0.01
2019-06-16,1.7
2019-06-17,0.21
2019-06-18,8.45
2019-06-19,0.25
2019-06-20,0.22
2019-06-21,1.18
2019-06-22,0.75
2019-06-23,0
2019-06-24,81.05
2019-06-25,3.29
2019-06-26,171.36
2019-06-27,0.35
2019-06-28,0.26
2019-06-29,1.25
2019-06-30,1.27
2019-07-01,2.94
2019-07-02,0.25
2019-07-03,0.02
2019-07-04,5.49
2019-07-05,0.97
2019-07-06,0.45
2019-07-07,1.83
2019-07-08,0.37
2019-07-09,0
2019-07-10,0.11
2019-07-11,0.49
2019-07-12,22.82
2019-07-13,0.21
2019-07-14,21.4
2019-07-15,0.27
2019-07-16,1.77
2019-07-17,0.04
2019-07-18,0.01
2019-07-19,8.96
2019-07-20,0.75
2019-07-21,0.12
2019-07-22,55.49
2019-07-23,3.58
2019-07-24,13124.72
2019-07-25,3.52
2019-07-26,0.89
2019-07-27,2.25
2019-07-28,13.37
2019-07-29,0.12
2019-07-30,61.04
2019-07-31,25.43
2019-08-01,1.24
2019-08-02,155.85
2019-08-03,1.92
2019-08-04,7.64
2019-08-05,7.62
2019-08-06,5.31
2019-08-07,11.37
2019-08-08,11.38
2019-08-09,1303.99
2019-08-10,1.53
2019-08-11,0.91
2019-08-12,1.42
2019-08-13,0.11
2019-08-14,16.68
2019-08-15,60.03
2019-08-16,2.64
2019-08-17,1.06
2019-08-18,0.16
2019-08-19,0.22
2019-08-20,2.32
2019-08-21,0
2019-08-22,0.06
2019-08-23,0.7
2019-08-24,0.46
2019-08-25,1.11
2019-08-26,0.02
2019-08-27,55.95
2019-08-28,0.85
2019-08-29,40.26
2019-08-30,0.3
2019-08-31,0.12
2019-09-01,3.17
2019-09-02,0.92
2019-09-03,0.36
2019-09-04,0
2019-09-05,26.91
2019-09-06,17.64
2019-09-07,20.45
2019-09-08,1.57
2019-09-09,1.71
2019-09-10,0.55
2019-09-11,0.1
2019-09-12,0.97
2019-09-13,249
2019-09-14,1.29
2019-09-15,0.37
2019-09-16,0
2019-09-17,0.25
2019-09-18,0.01
2019-09-19,0.51
2019-09-20,0.1
2019-09-21,0
2019-09-22,0
2019-09-23,24.49
2019-09-24,0.01
2019-09-25,0.61
2019-09-26,0.01
2019-09-27,0.02
2019-09-28,0
2019-09-29,0.03
2019-09-30,1.5
2019-10-01,1.51
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,4.21
2019-10-06,1.11
2019-10-07,8
2019-10-08,0.01
2019-10-09,0.57
2019-10-10,1.5
2019-10-11,3.13
2019-10-12,1.1
2019-10-13,6.51
2019-10-14,5.88
2019-10-15,0.15
2019-10-16,7.4
2019-10-17,0
2019-10-18,0.1
2019-10-19,0
2019-10-20,10
2019-10-21,0
2019-10-22,0.1
2019-10-23,0
2019-10-24,20.1
2019-10-25,0
2019-10-26,13.52
2019-10-27,2.9
2019-10-28,0.51
2019-10-29,60.68
2019-10-30,0.51
2019-10-31,0.53
2019-11-01,7.26
2019-11-02,25
2019-11-03,2.85
2019-11-04,2.6
2019-11-05,0.26
2019-11-06,24.36
2019-11-07,1.39
2019-11-08,0
2019-11-09,0.5
2019-11-10,0.2
2019-11-11,0.25
2019-11-12,0
2019-11-13,0.11
2019-11-14,0
2019-11-15,0
2019-11-16,0.25
2019-11-17,3.13
2019-11-18,0.01
2019-11-19,0
2019-11-20,0.11
2019-11-21,0.01
2019-11-22,0.01
2019-11-23,0.01
2019-11-24,0
2019-11-25,0
2019-11-26,0.01
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0.01
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0.25
2020-02-20,0
2020-02-21,0.25
2020-02-22,1.7
2020-02-23,0
2020-02-24,0.1
2020-02-25,2.3
2020-02-26,0.01
2020-02-27,0
2020-02-28,0.25
2020-02-29,7.5
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,3.24
2020-03-06,3
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0.01
2020-03-11,0.6
2020-03-12,15.1
2020-03-13,0.1
2020-03-14,0
2020-03-15,0.64
2020-03-16,0
2020-03-17,5
2020-03-18,1.8
2020-03-19,0
2020-03-20,0.25
2020-03-21,11.23
2020-03-22,1
2020-03-23,0.1
2020-03-24,0
2020-03-25,14.2
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0.5
2020-03-30,0
2020-03-31,0.01
2020-04-01,0
2020-04-02,0.01
2020-04-03,0.1
