Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2022-01-08,9.3,39,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-09,13.9,55,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-10,10.5,44,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-11,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-12,4.6,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-13,2.2,9,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-14,4.5,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-15,7.9,33,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-16,8.7,36,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-17,11.6,48,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-18,12,50,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-19,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-20,1.6,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-21,5.3,22,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-22,6.2,26,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-23,21.1,70,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-24,14.5,56,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-25,9.6,40,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-26,14,55,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-27,18,63,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-28,14.8,57,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-29,22.8,74,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-30,12.6,52,"Portland-Vancouver-Hillsboro, OR-WA"
2022-01-31,3.4,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-01,5.8,24,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-02,6.3,26,"Portland-Vancouver-Hillsboro, OR-WA"
2022-02-03,6.2,26,"Portland-Vancouver-Hillsboro, OR-WA"
