"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/07/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/08/2017","AQS","410050004","1","0.039","ppm","36","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/09/2017","AQS","410050004","1","0.029","ppm","27","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/10/2017","AQS","410050004","1","0.028","ppm","26","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/11/2017","AQS","410050004","1","0.032","ppm","30","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/12/2017","AQS","410050004","1","0.024","ppm","22","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/13/2017","AQS","410050004","1","0.029","ppm","27","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/14/2017","AQS","410050004","1","0.034","ppm","31","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/15/2017","AQS","410050004","1","0.015","ppm","14","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/16/2017","AQS","410050004","1","0.011","ppm","10","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/17/2017","AQS","410050004","1","0.039","ppm","36","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/18/2017","AQS","410050004","1","0.032","ppm","30","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/19/2017","AQS","410050004","1","0.035","ppm","32","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/20/2017","AQS","410050004","1","0.025","ppm","23","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/21/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/23/2017","AQS","410050004","1","0.056","ppm","54","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/24/2017","AQS","410050004","1","0.047","ppm","44","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/25/2017","AQS","410050004","1","0.064","ppm","80","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/26/2017","AQS","410050004","1","0.034","ppm","31","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/27/2017","AQS","410050004","1","0.04","ppm","37","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/28/2017","AQS","410050004","1","0.034","ppm","31","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/29/2017","AQS","410050004","1","0.045","ppm","42","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"06/30/2017","AQS","410050004","1","0.047","ppm","44","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"07/01/2017","AQS","410050004","1","0.036","ppm","33","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"07/02/2017","AQS","410050004","1","0.039","ppm","36","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"07/03/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"07/04/2017","AQS","410050004","1","0.045","ppm","42","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"07/05/2017","AQS","410050004","1","0.056","ppm","54","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
